Russian,English,Unnamed: 2
Пожалуйста.,Please.,
Спасибо.,Thank you.,
Прошу прощения.,I’m sorry.,
Не за что.,You’re welcome.,
Извините.,Excuse me.,
Вы говорите по-_____?,Do you speak _____?,
У вас есть _____?,Do you have _____?,
Я имею,I have,
Говорите помедленнее.,Speak slowly.,
Не понимаю. Повторите пожалуйста.,I don’t understand. Please repeat.,
Откуда ты?,Where are you from?,
Ну тогда до свидания.,Have a good day.,
"Ваши паспорта, пожалуйста. ","Your passports, please. ",
"Вот, пожалуйста. ",Here you are.,
Мы путешествуем вместе.,We are traveling together.,
Я путешествую с ребёнком.,I’m traveling with a child.,
Рейс откладывается?,Is the flight delayed?,
Рейс отменили?,Is the flight cancelled?,
Когда вылетает следующий самолёт в Рим?,When is the next flight to Rome?,
Вы не могли бы помочь нам при посадке?,We need help boarding the plane.,
Это место свободно?,Is this seat taken?,
Я хотел бы пересесть.,I would like to change my seat.,
Могли бы вы мне помочь?,Can you help me?,
Вы не могли бы мне помочь?,"Could you help me, please? ",
Могли бы вы нам помочь?,Can you help us?,
Где _____?,Where is _____?,
" Скажите пожалуйста, где аэропорт? ","Where is the airport, please? ",
Где информационный центр для туристов?,Where is the tourist information office?,
Где стоянка такси?,Where is a taxi stand?,
Где можно взять такси?,Where can I find a taxi?,
Где туалет?,Where is the toilet?,
" Скажите пожалуйста, где автобусная остановка? ","Where is the bus station, please? ",
Где здесь можно купить билеты?,Where can I buy tickets?,
Где аптека?,Where is a pharmacy?,
Где здесь супермаркет?,Where is a supermarket?,
Где хороший ресторан?,Where is a good restaurant?,
Здесь есть поблизости вегетарианский ресторан?,Is there a vegetarian restaurant nearby?,
" Скажите пожалуйста, где банк? ","Where is a bank, please? ",
" Остановитесь, пожалуйста, здесь. ",Please stop here.,
" Пожалуйста, подождите чуть-чуть. ",Please wait a moment.,
Я скоро вернусь.,I’ll be back immediately.,
Отвезите меня по этому адресу.,Drive me to this address.,
Я забронировал номер.,I have booked a room.,
" Дайте мне, пожалуйста, ключ от номера _____. ","The key for room _____, please. ",
В номере очень шумно.,This room is too noisy.,
У вас есть матрас потвёрже?,Do you have a firmer mattress?,
До которого часа нужно освободить номер?,When is check-out time?,
Спасибо большое.,Thank you for your help.,
" Надеюсь, вы были всем довольны? ",How was your stay with us?,
" Всё было замечательно, спасибо. ","Very pleasant, thank you. ",
" Вот ваш счёт, проверьте пожалуйста. ","Here is your bill, please look it over. ",
Я бронировал столик. Меня зовут _____.,I have a reservation. My name is _____.,
Я хотел бы аннулировать мою бронь.,I would like to cancel my reservation.,
Я хотел бы изменить мою бронь.,I would like to change my reservation.,
Мы хотим заказать.,We are ready to order.,
Что будете пить?,What would you like to drink?,
Что вы можете посоветовать?,What would you recommend?,
Два бокала вина.,We would like two glasses of wine.,
Моей жене,My wife would like a bowl of soup., 
Я хотел бы что-нибудь без мяса.,,
" И ещё соль и перец, пожалуйста. ","Some salt and pepper also, please. ",
Я хотел бы чай с лимоном.,I would like a tea with lemon.,
Без сахара.,No sugar.,
Я хотел бы минеральной воды.,I’d like a mineral water.,
Я хотел бы апельсинового сока.,I’d like an orange juice.,
Я хотел бы кофе.,I would like a coffee.,
Я хотел бы салат. Ya hotel by salat.,I would like a salad.,
Я хотел бы суп. Ya hotel by sup.,I would like a soup.,
Я хотел бы десерт. Ya hotel by desert.,I would like a dessert.,
Мы хотели бы позавтракать.,We would like to have breakfast.,
Мы хотели бы пообедать.,We would like to have lunch.,
Мы хотели бы поужинать.,We would like to have dinner.,
Что бы вы хотели на завтрак?,What would you like for breakfast?,
Здесь есть бар?,Is there a pub here?,
" В парке будет рок-концерт, и вход бесплатный. ",There’s a free rock concert in the park.,
Потанцуем?,Would you like to dance?,
Билеты в театр ещё есть?,Are tickets for the theatre still available?,
Билеты в кино ещё есть?,Are tickets for the cinema still available?,
Билеты на футбол ещё есть?,Are tickets for the football game still available?,
Вы можете достать мне билет?,Can you get me a ticket?,
Сколько стоят входные билеты?,How much are the admission tickets?,
" Скажите пожалуйста, сколько стоит билет? ","How much does a ticket cost, please? ",
" Один билет, пожалуйста. ","One ticket, please. ",
Повеселимся!,Let’s have some fun.,
Ещё остались свободные места?,Are there seats available?,
Сколько это стоит?,How much does it cost?,
Я хотел бы _____.,I would like _____.,
Сколько они стоят?,How much are they?,
" Дайте мне, пожалуйста, чек. ",Can I have a receipt?,
Что вы предпочитаете?,What would you like?,
Можно мне мороженого?,Can I have some ice cream?,
Давайте пойдём потанцуем.,Let’s go dancing.,
Давайте пойдём в ночной клуб.,Let’s go to a night-club.,
Хотелось бы встретиться с тобой ещё.,I’d like to see you again.,
Я буду очень рада.,I’d like that very much.,
Ты очень красивый.,You are very handsome.,
Можно тебя поцеловать?,May I kiss you?,
Можно взять тебя за руку?,May I hold your hand?,
Ты мне очень нравишься.,I like you a lot.,
У тебя кто-нибудь есть?,Are you single?,
Я женат.,I’m married.,
Мне это неинтересно.,I’m not interested.,
Сходим сегодня вечером куда-нибудь?,Would you like to go out this evening?,
Поужинаем вместе?,Would you like to have dinner with me?,
Я люблю тебя.,I love you.,
I love you. – Я люблю тебя.,,
